,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
175,22,2,10.0,10.0,7.0,9.0,9.0,6.0,6.0,7.0,8.0,1.0,8.75,7.0,6.0,7.0,6.0,2022.0
177,22,2,21.0,19.0,14.0,19.0,18.0,11.0,8.0,11.0,10.0,1.0,17.5,12.333333333333334,8.0,11.0,9.5,2022.0
178,22,2,13.0,13.0,8.0,12.0,9.0,7.0,4.0,10.0,9.0,1.0,10.5,6.666666666666667,4.0,10.0,5.5,2022.0
179,22,2,22.0,20.0,17.0,20.0,20.0,11.0,7.0,17.0,14.0,2.0,19.25,12.666666666666666,7.0,17.0,9.0,2022.0
180,22,2,22.0,22.0,15.0,18.0,18.0,14.0,11.0,17.0,15.0,2.0,18.25,14.333333333333334,11.0,17.0,12.5,2022.0
181,22,2,30.0,25.0,19.0,23.0,19.0,14.0,14.0,22.0,17.0,2.0,21.5,15.666666666666666,14.0,22.0,14.0,2022.0
182,22,2,7.0,7.0,4.0,6.0,4.0,3.0,5.0,3.0,3.0,1.0,5.25,4.0,5.0,3.0,4.0,2022.0
184,22,2,19.0,17.0,13.0,16.0,13.0,8.0,8.0,14.0,9.0,3.0,14.75,9.666666666666666,8.0,14.0,8.0,2022.0
185,22,2,8.0,7.0,3.0,7.0,4.0,3.0,4.0,2.0,2.0,1.0,5.25,3.6666666666666665,4.0,2.0,3.5,2022.0
253,21,2,68.0,61.0,51.0,56.0,54.0,30.0,31.0,52.0,48.0,0.0,55.5,38.333333333333336,31.0,52.0,30.5,2021.5
254,21,2,42.0,33.0,21.0,28.0,34.0,12.0,28.0,28.0,23.0,0.0,29.0,24.666666666666668,28.0,28.0,20.0,2021.5
255,21,2,18.0,15.0,9.0,11.0,14.0,6.0,5.0,12.0,11.0,0.0,12.25,8.333333333333334,5.0,12.0,5.5,2021.5
256,21,2,22.0,18.0,14.0,18.0,16.0,12.0,11.0,15.0,13.0,0.0,16.5,13.0,11.0,15.0,11.5,2021.5
257,21,2,18.0,14.0,12.0,12.0,14.0,9.0,4.0,12.0,8.0,0.0,13.0,9.0,4.0,12.0,6.5,2021.5
258,21,2,14.0,12.0,8.0,11.0,12.0,7.0,5.0,11.0,9.0,1.0,10.75,8.0,5.0,11.0,6.0,2021.5
259,21,2,11.0,10.0,9.0,8.0,9.0,7.0,6.0,8.0,7.0,1.0,9.0,7.333333333333333,6.0,8.0,6.5,2021.5
260,21,2,8.0,7.0,5.0,6.0,4.0,2.0,4.0,8.0,3.0,1.0,5.5,3.3333333333333335,4.0,8.0,3.0,2021.5
261,21,2,29.0,21.0,17.0,25.0,24.0,15.0,5.0,15.0,19.0,2.0,21.75,14.666666666666666,5.0,15.0,10.0,2021.5
262,21,2,25.0,19.0,13.0,19.0,15.0,10.0,5.0,17.0,10.0,2.0,16.5,10.0,5.0,17.0,7.5,2021.5
263,21,2,10.0,8.0,6.0,7.0,7.0,6.0,3.0,7.0,4.0,2.0,7.0,5.333333333333333,3.0,7.0,4.5,2021.5
264,21,2,10.0,9.0,5.0,6.0,7.0,4.0,6.0,4.0,4.0,1.0,6.75,5.666666666666667,6.0,4.0,5.0,2021.5
265,21,2,11.0,8.0,9.0,11.0,10.0,3.0,5.0,8.0,7.0,1.0,9.5,6.0,5.0,8.0,4.0,2021.5
324,19,2,40.0,37.0,23.0,23.0,29.0,18.0,20.0,32.0,24.0,0.0,28.0,22.333333333333332,20.0,32.0,19.0,2019.5
325,19,2,13.0,10.0,7.0,11.0,12.0,8.0,7.0,9.0,9.0,1.0,10.0,9.0,7.0,9.0,7.5,2019.5
326,19,2,28.0,22.0,15.0,26.0,21.0,14.0,11.0,18.0,18.0,1.0,21.0,15.333333333333334,11.0,18.0,12.5,2019.5
327,19,2,26.0,23.0,15.0,21.0,20.0,12.0,9.0,17.0,16.0,1.0,19.75,13.666666666666666,9.0,17.0,10.5,2019.5
328,19,2,23.0,19.0,17.0,16.0,17.0,14.0,14.0,19.0,17.0,1.0,17.25,15.0,14.0,19.0,14.0,2019.5
329,19,2,22.0,18.0,12.0,18.0,19.0,7.0,11.0,18.0,14.0,1.0,16.75,12.333333333333334,11.0,18.0,9.0,2019.5
330,19,2,13.0,9.0,8.0,11.0,10.0,5.0,6.0,7.0,8.0,1.0,9.5,7.0,6.0,7.0,5.5,2019.5
331,19,2,13.0,11.0,5.0,13.0,7.0,4.0,7.0,9.0,5.0,1.0,9.0,6.0,7.0,9.0,5.5,2019.5
332,19,2,29.0,22.0,22.0,26.0,19.0,15.0,10.0,19.0,14.0,2.0,22.25,14.666666666666666,10.0,19.0,12.5,2019.5
333,19,2,23.0,20.0,15.0,19.0,18.0,10.0,11.0,11.0,16.0,2.0,18.0,13.0,11.0,11.0,10.5,2019.5
334,19,2,26.0,22.0,15.0,21.0,23.0,11.0,11.0,17.0,16.0,2.0,20.25,15.0,11.0,17.0,11.0,2019.5
335,19,2,15.0,14.0,15.0,12.0,13.0,9.0,5.0,12.0,9.0,2.0,13.5,9.0,5.0,12.0,7.0,2019.5
336,19,2,20.0,15.0,10.0,16.0,18.0,5.0,4.0,14.0,6.0,2.0,14.75,9.0,4.0,14.0,4.5,2019.5
337,19,2,23.0,21.0,15.0,21.0,16.0,11.0,8.0,21.0,13.0,2.0,18.25,11.666666666666666,8.0,21.0,9.5,2019.5
338,19,2,13.0,10.0,10.0,10.0,7.0,3.0,3.0,5.0,3.0,2.0,9.25,4.333333333333333,3.0,5.0,3.0,2019.5
339,19,2,13.0,13.0,8.0,12.0,11.0,8.0,7.0,11.0,10.0,2.0,11.0,8.666666666666666,7.0,11.0,7.5,2019.5
340,19,2,12.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,1.0,9.0,8.666666666666666,8.0,10.0,8.5,2019.5
341,19,2,13.0,12.0,8.0,11.0,10.0,3.0,4.0,10.0,8.0,1.0,10.25,5.666666666666667,4.0,10.0,3.5,2019.5
342,19,2,13.0,11.0,8.0,11.0,7.0,6.0,7.0,7.0,6.0,1.0,9.25,6.666666666666667,7.0,7.0,6.5,2019.5
